"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"35","I'll say it: Holy Cow, @Cubs fans. Even this White Sox fan was happy to see Wrigley rocking last night. #FlyTheW",FALSE,74841,NA,2016-10-23 17:01:02,FALSE,NA,"790236602584948736",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","POTUS44",17946,FALSE,FALSE,NA,NA
"36","Check out my newest science advisors! These kids are fearless in using science to tackle our toughest problems. Tha… https://t.co/pLBZQWDFin",FALSE,60563,NA,2016-10-21 22:44:03,TRUE,NA,"789598150541635588",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","POTUS44",12176,FALSE,FALSE,NA,NA
"37","Outstanding 3 for 3 debate sweep for @HillaryClinton! Nobody has ever been more prepared to be @POTUS.",FALSE,79069,NA,2016-10-20 13:31:12,FALSE,NA,"789096632537055232",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","POTUS44",18589,FALSE,FALSE,NA,NA
"38","For the loved ones we've lost and the ones we can still save, thank you Joe for putting us on the path to ending ca… https://t.co/OPPnQIJDl2",FALSE,22992,NA,2016-10-17 19:26:31,TRUE,NA,"788098889140219904",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","POTUS44",5892,FALSE,FALSE,NA,NA
"39","For a century, Planned Parenthood has made it possible for women to determine their own lives. Here's to another #100YearsStrong.",FALSE,96271,NA,2016-10-16 14:30:59,FALSE,NA,"787662124197830656",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","POTUS44",30855,FALSE,FALSE,NA,NA
"40","Clearly, we still have more to do to prevent sexual assault and the thinking that leads to it. That starts with us: https://t.co/9PRZB451fS",FALSE,40631,NA,2016-10-14 21:46:46,FALSE,NA,"787047018606784512",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","POTUS44",14042,FALSE,FALSE,NA,NA
"41","Congratulations to one of my favorite poets, Bob Dylan, on a well-deserved Nobel. https://t.co/c9cnANWPCS",FALSE,30309,NA,2016-10-13 16:05:37,FALSE,NA,"786598777482153988",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","POTUS44",10213,FALSE,FALSE,NA,NA
"42","Now this was fun. Artificial intelligence, space travel—hope you enjoy exploring new frontiers as much as I did. https://t.co/WWBUm5eJ08",FALSE,24301,NA,2016-10-12 17:16:09,FALSE,NA,"786254141182074880",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","POTUS44",6869,FALSE,FALSE,NA,NA
"43","On International #DayoftheGirl, we remain committed to providing what we all want for our daughters: a future of limitless possibility.",FALSE,55268,NA,2016-10-11 16:58:15,FALSE,NA,"785887247727857664",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","POTUS44",21893,FALSE,FALSE,NA,NA
"44","Just like Michelle says, when they go low, we go high. @HillaryClinton went high and showed why she'll be a POTUS for all Americans.",FALSE,90712,NA,2016-10-10 16:06:27,FALSE,NA,"785511825395765248",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","POTUS44",23267,FALSE,FALSE,NA,NA
"45","Voted early today. Make sure you vote too: https://t.co/SUUmUADsHj https://t.co/NMesNhwsaG",FALSE,50734,NA,2016-10-07 21:40:44,FALSE,NA,"784508784316063744",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","POTUS44",14393,FALSE,FALSE,NA,NA
"46","Hurricane Matthew is as serious as it gets. Listen to local officials, prepare, take care of each other. https://t.co/Vaf8Xubs0s",FALSE,25329,NA,2016-10-06 23:17:43,FALSE,NA,"784170804279992320",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","POTUS44",9491,FALSE,FALSE,NA,NA
"47","Thank you to every nation that moved to bring the Paris Agreement into force. History will judge today as a turning point for our planet.",FALSE,37986,NA,2016-10-05 20:52:38,FALSE,NA,"783771904297447424",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","POTUS44",9890,FALSE,FALSE,NA,NA
"48","Bringing a little Austin to the South Lawn today. https://t.co/qCXwVI0uLH https://t.co/nTb10I3GHP",FALSE,15022,NA,2016-10-03 15:49:46,FALSE,NA,"782970909229326336",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","POTUS44",4796,FALSE,FALSE,NA,NA
"49","What a win by the USA in #RyderCup. Proud to see our guys bring the trophy back home. Arnie is smiling down.",FALSE,18995,NA,2016-10-03 02:00:35,FALSE,NA,"782762238616727552",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","POTUS44",3491,FALSE,FALSE,NA,NA
"50","Gandhiji believed in a world worthy of our children. In joining the Paris Agreement, @narendramodi &amp; the Indian people carry on that legacy.",FALSE,35034,NA,2016-10-02 14:54:48,FALSE,NA,"782594690738597888",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","POTUS44",13861,FALSE,FALSE,NA,NA
"51","Paid leave shouldn't be a luxury. It's a basic necessity that we should secure for every working American. https://t.co/OPeQiVPJlK",FALSE,16414,NA,2016-10-01 14:00:36,FALSE,NA,"782218662228942848",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","POTUS44",4692,FALSE,FALSE,NA,NA
"52","Our Olympians and Paralympians show the world that no matter what, with perseverance, we can do incredible things. Proud of you, #TeamUSA.",FALSE,21110,NA,2016-09-29 23:38:14,FALSE,NA,"781639251528081409",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","POTUS44",3608,FALSE,FALSE,NA,NA
"53","Couldn't be more proud of @HillaryClinton. Her vision and command during last night's debate showed that she's ready to be our next @POTUS.",FALSE,88095,NA,2016-09-27 23:04:33,FALSE,NA,"780906000391864320",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","POTUS44",21631,FALSE,FALSE,NA,NA
"54","Democracy is not a spectator sport. Don't give up your power to shape the future of the country we love. Vote: https://t.co/sUxB8TLc5r",FALSE,32319,NA,2016-09-27 16:39:35,FALSE,NA,"780809121314504704",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","POTUS44",14728,FALSE,FALSE,NA,NA
"55","Here's to The King who was as extraordinary on the links as he was generous to others. Thanks for the memories, Arn… https://t.co/r4dLQqt45A",FALSE,47296,NA,2016-09-26 03:14:38,TRUE,NA,"780244157625278464",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","POTUS44",10741,FALSE,FALSE,NA,NA
"56","Proud to help open @NMAAHC with so many heroes. African American history is a central part of our glorious American history.",FALSE,22484,NA,2016-09-24 14:04:52,FALSE,NA,"779683020043419649",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","POTUS44",7444,FALSE,FALSE,NA,NA
"57","Sabaidii, Laos! Honored to be the first U.S. president to visit Laos and to begin a new partnership between our countries.",FALSE,25356,NA,2016-09-06 01:30:41,FALSE,NA,"772970240602836992",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","POTUS44",5087,FALSE,FALSE,NA,NA
"58","Happy Labor Day - longest streak of job growth ever, unemployment cut in half. That's what hardworking Americans can do. Let's keep going!",FALSE,52684,NA,2016-09-05 16:57:23,FALSE,NA,"772841067276333056",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","POTUS44",14020,FALSE,FALSE,NA,NA
"59","Congrats to NASA and the scientists taking us a step closer to Mars. Now enjoy Hawaii and get a shave ice! https://t.co/lFZjSnn38x",FALSE,19239,NA,2016-08-29 16:28:19,FALSE,NA,"770297035274584068",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","POTUS44",5047,FALSE,FALSE,NA,NA
"60","Congratulations to Maine-Endwell, Little League World Series Champs and still undefeated! Proud of you and the sportsmanship you showed.",FALSE,22307,NA,2016-08-29 00:08:26,FALSE,NA,"770050438578184192",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","POTUS44",4392,FALSE,FALSE,NA,NA
"61","Nearly 100 years ago, women broke down barriers to the ballot box, moving us closer to a more equal nation. Let's finish what they started.",FALSE,63158,NA,2016-08-26 16:08:26,FALSE,NA,"769204867235667969",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","POTUS44",21079,FALSE,FALSE,NA,NA
"62","100 years and going strong. Thanks @NatlParkService for your service, so our kids enjoy our parks as much as we have https://t.co/1v3W2HLD6f",FALSE,30703,NA,2016-08-25 18:05:02,FALSE,NA,"768871824885026817",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","POTUS44",7088,FALSE,FALSE,NA,NA
"63","Felicitaciones, @JuanManSantos and Colombia. After decades of war, we stand with you in building a future of peace. https://t.co/haXJaqgS9f",FALSE,15863,NA,2016-08-25 15:32:50,FALSE,NA,"768833523729903618",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","POTUS44",8865,FALSE,FALSE,NA,NA
